epoch,train_loss,test_loss,train_accuracy,test_accuracy,train_f1,test_f1
0,0.7,0.69,0.5,0.47,0.47,0.0
1,0.69,0.69,0.5,0.47,0.39,0.0
2,0.69,0.69,0.51,0.47,0.33,0.0
3,0.69,0.69,0.5,0.47,0.33,0.0
4,0.69,0.69,0.51,0.47,0.34,0.0
5,0.69,0.69,0.51,0.47,0.37,0.53
6,0.69,0.69,0.52,0.55,0.4,0.64
7,0.69,0.69,0.53,0.55,0.48,0.65
8,0.69,0.69,0.54,0.57,0.47,0.68
9,0.68,0.68,0.55,0.57,0.51,0.69
10,0.68,0.67,0.57,0.57,0.53,0.69
11,0.67,0.66,0.58,0.6,0.54,0.71
12,0.66,0.65,0.6,0.72,0.55,0.78
13,0.66,0.64,0.6,0.68,0.56,0.75
14,0.65,0.63,0.62,0.72,0.58,0.78
15,0.64,0.63,0.62,0.72,0.56,0.78
16,0.64,0.63,0.62,0.72,0.57,0.77
17,0.64,0.62,0.62,0.72,0.57,0.78
18,0.64,0.62,0.63,0.7,0.57,0.75
19,0.64,0.62,0.63,0.72,0.57,0.78
20,0.63,0.61,0.63,0.7,0.58,0.75
21,0.63,0.61,0.64,0.7,0.58,0.75
22,0.63,0.61,0.63,0.72,0.58,0.76
23,0.63,0.6,0.64,0.72,0.57,0.78
24,0.63,0.61,0.64,0.7,0.58,0.75
25,0.63,0.6,0.64,0.72,0.58,0.77
26,0.62,0.59,0.64,0.72,0.59,0.76
27,0.62,0.6,0.64,0.7,0.59,0.74
28,0.62,0.59,0.64,0.7,0.59,0.75
29,0.62,0.59,0.64,0.7,0.59,0.74
30,0.62,0.59,0.64,0.7,0.59,0.74
31,0.62,0.59,0.64,0.72,0.58,0.76
32,0.62,0.6,0.64,0.7,0.59,0.74
33,0.62,0.59,0.64,0.7,0.59,0.74
34,0.62,0.59,0.65,0.7,0.59,0.74
35,0.61,0.59,0.64,0.7,0.59,0.74
36,0.61,0.59,0.64,0.7,0.6,0.74
37,0.61,0.58,0.65,0.7,0.6,0.74
38,0.61,0.59,0.65,0.7,0.6,0.74
39,0.61,0.58,0.65,0.72,0.59,0.77
40,0.61,0.57,0.65,0.78,0.61,0.82
41,0.61,0.57,0.65,0.72,0.6,0.77
42,0.61,0.58,0.65,0.78,0.6,0.81
43,0.61,0.57,0.65,0.72,0.61,0.77
44,0.61,0.57,0.65,0.75,0.61,0.78
45,0.61,0.57,0.65,0.75,0.61,0.79
46,0.6,0.56,0.66,0.75,0.61,0.78
47,0.6,0.56,0.66,0.72,0.61,0.77
48,0.6,0.57,0.65,0.75,0.61,0.78
49,0.61,0.56,0.65,0.72,0.61,0.77
50,0.6,0.56,0.65,0.75,0.61,0.78
51,0.6,0.56,0.66,0.78,0.62,0.82
52,0.6,0.56,0.66,0.75,0.62,0.79
53,0.6,0.55,0.66,0.78,0.62,0.8
54,0.6,0.55,0.66,0.78,0.62,0.8
55,0.6,0.55,0.66,0.78,0.63,0.82
56,0.59,0.54,0.67,0.78,0.64,0.82
57,0.6,0.55,0.66,0.78,0.63,0.82
58,0.6,0.55,0.66,0.75,0.63,0.79
59,0.59,0.54,0.66,0.78,0.63,0.82
60,0.59,0.53,0.66,0.78,0.63,0.82
61,0.59,0.54,0.66,0.78,0.63,0.82
62,0.59,0.54,0.66,0.78,0.63,0.82
63,0.59,0.53,0.66,0.75,0.64,0.8
64,0.59,0.54,0.67,0.78,0.65,0.82
65,0.59,0.52,0.66,0.78,0.64,0.82
66,0.59,0.53,0.67,0.75,0.65,0.8
67,0.59,0.52,0.67,0.75,0.65,0.8
68,0.59,0.52,0.67,0.78,0.64,0.82
69,0.59,0.53,0.67,0.75,0.64,0.8
70,0.59,0.53,0.66,0.75,0.64,0.8
71,0.59,0.53,0.67,0.78,0.64,0.82
72,0.59,0.51,0.67,0.75,0.65,0.8
73,0.59,0.51,0.67,0.82,0.65,0.85
74,0.58,0.51,0.67,0.8,0.65,0.83
75,0.58,0.5,0.67,0.72,0.65,0.78
76,0.58,0.51,0.67,0.72,0.65,0.78
77,0.58,0.51,0.67,0.75,0.65,0.8
78,0.58,0.49,0.68,0.78,0.65,0.82
79,0.58,0.49,0.67,0.82,0.65,0.85
80,0.58,0.49,0.67,0.78,0.65,0.82
81,0.58,0.49,0.67,0.75,0.65,0.8
82,0.58,0.49,0.67,0.75,0.65,0.8
83,0.58,0.49,0.67,0.78,0.66,0.82
84,0.58,0.48,0.68,0.82,0.66,0.86
85,0.58,0.49,0.67,0.78,0.66,0.82
86,0.57,0.46,0.67,0.78,0.66,0.81
87,0.58,0.47,0.67,0.82,0.65,0.86
88,0.58,0.48,0.67,0.82,0.66,0.86
89,0.57,0.47,0.68,0.82,0.66,0.86
90,0.57,0.47,0.68,0.82,0.66,0.86
91,0.57,0.47,0.68,0.82,0.67,0.86
92,0.57,0.46,0.68,0.82,0.66,0.86
93,0.57,0.47,0.68,0.82,0.66,0.86
94,0.57,0.47,0.67,0.82,0.66,0.86
95,0.57,0.46,0.68,0.82,0.67,0.86
96,0.57,0.45,0.67,0.82,0.66,0.86
97,0.57,0.46,0.68,0.82,0.67,0.86
98,0.57,0.45,0.68,0.78,0.66,0.81
99,0.57,0.45,0.68,0.82,0.66,0.86
