epoch,train_loss,test_loss,train_accuracy,test_accuracy,train_f1,test_f1
0,0.69,0.69,0.5,0.47,0.34,0.0
1,0.69,0.69,0.51,0.47,0.34,0.0
2,0.69,0.69,0.51,0.47,0.28,0.0
3,0.69,0.69,0.52,0.47,0.27,0.0
4,0.69,0.69,0.52,0.42,0.31,0.15
5,0.69,0.69,0.52,0.47,0.34,0.53
6,0.69,0.69,0.53,0.57,0.48,0.69
7,0.68,0.69,0.53,0.53,0.5,0.63
8,0.68,0.69,0.54,0.6,0.52,0.71
9,0.68,0.69,0.55,0.57,0.55,0.7
10,0.67,0.69,0.55,0.55,0.55,0.69
11,0.67,0.68,0.56,0.57,0.57,0.7
12,0.67,0.68,0.57,0.55,0.57,0.69
13,0.66,0.67,0.58,0.57,0.58,0.71
14,0.66,0.67,0.59,0.55,0.59,0.69
15,0.65,0.66,0.6,0.62,0.56,0.73
16,0.64,0.65,0.61,0.68,0.57,0.75
17,0.64,0.64,0.61,0.72,0.56,0.78
18,0.63,0.63,0.62,0.72,0.57,0.78
19,0.63,0.62,0.63,0.72,0.57,0.78
20,0.63,0.62,0.63,0.75,0.57,0.79
21,0.63,0.61,0.63,0.72,0.57,0.78
22,0.63,0.61,0.63,0.75,0.57,0.79
23,0.63,0.61,0.63,0.75,0.58,0.78
24,0.63,0.6,0.63,0.75,0.57,0.78
25,0.63,0.6,0.63,0.78,0.57,0.81
26,0.62,0.6,0.64,0.75,0.57,0.78
27,0.62,0.6,0.64,0.75,0.57,0.78
28,0.62,0.6,0.64,0.78,0.57,0.8
29,0.62,0.59,0.64,0.72,0.58,0.74
30,0.62,0.59,0.64,0.78,0.57,0.8
31,0.62,0.59,0.64,0.75,0.58,0.77
32,0.62,0.59,0.64,0.75,0.58,0.77
33,0.62,0.58,0.65,0.75,0.58,0.77
34,0.62,0.58,0.64,0.72,0.57,0.74
35,0.62,0.58,0.64,0.72,0.57,0.74
36,0.62,0.58,0.64,0.72,0.57,0.74
37,0.62,0.58,0.65,0.72,0.57,0.74
38,0.62,0.58,0.65,0.72,0.57,0.74
39,0.62,0.58,0.65,0.72,0.58,0.76
40,0.61,0.58,0.65,0.75,0.57,0.77
41,0.61,0.58,0.64,0.72,0.57,0.74
42,0.61,0.57,0.65,0.72,0.57,0.74
43,0.61,0.57,0.64,0.72,0.57,0.74
44,0.61,0.57,0.65,0.72,0.57,0.74
45,0.61,0.57,0.65,0.72,0.57,0.74
46,0.61,0.57,0.65,0.78,0.57,0.78
47,0.61,0.57,0.65,0.75,0.56,0.76
48,0.61,0.57,0.64,0.75,0.56,0.76
49,0.61,0.57,0.65,0.75,0.57,0.76
50,0.61,0.57,0.64,0.75,0.57,0.76
51,0.61,0.57,0.65,0.75,0.56,0.76
52,0.61,0.57,0.65,0.75,0.57,0.76
53,0.61,0.56,0.65,0.75,0.57,0.76
54,0.61,0.56,0.65,0.75,0.57,0.76
55,0.61,0.56,0.65,0.75,0.57,0.76
56,0.61,0.56,0.65,0.75,0.57,0.76
57,0.61,0.56,0.65,0.78,0.57,0.78
58,0.61,0.56,0.65,0.78,0.57,0.78
59,0.61,0.56,0.65,0.75,0.56,0.76
60,0.61,0.56,0.65,0.78,0.57,0.78
61,0.61,0.56,0.65,0.78,0.56,0.78
62,0.6,0.56,0.65,0.78,0.57,0.78
63,0.61,0.56,0.65,0.78,0.57,0.78
64,0.61,0.55,0.65,0.75,0.57,0.76
65,0.61,0.56,0.65,0.78,0.57,0.78
66,0.61,0.56,0.65,0.8,0.56,0.8
67,0.6,0.55,0.65,0.8,0.57,0.8
68,0.6,0.56,0.65,0.78,0.57,0.77
69,0.6,0.56,0.65,0.78,0.57,0.77
70,0.6,0.55,0.65,0.78,0.56,0.77
71,0.61,0.55,0.65,0.78,0.57,0.78
72,0.6,0.55,0.65,0.78,0.58,0.78
73,0.61,0.55,0.65,0.78,0.56,0.78
74,0.6,0.55,0.65,0.78,0.57,0.77
75,0.6,0.55,0.65,0.78,0.56,0.77
76,0.6,0.55,0.65,0.78,0.57,0.77
77,0.6,0.55,0.65,0.78,0.56,0.77
78,0.6,0.55,0.65,0.78,0.56,0.77
79,0.6,0.55,0.65,0.78,0.57,0.77
80,0.6,0.55,0.65,0.78,0.56,0.77
81,0.6,0.54,0.66,0.78,0.57,0.77
82,0.6,0.54,0.65,0.78,0.57,0.77
83,0.61,0.55,0.65,0.8,0.56,0.79
84,0.6,0.54,0.65,0.78,0.57,0.77
85,0.6,0.54,0.65,0.78,0.56,0.77
86,0.6,0.54,0.65,0.8,0.57,0.79
87,0.6,0.54,0.65,0.8,0.57,0.79
88,0.6,0.54,0.65,0.8,0.57,0.79
89,0.6,0.54,0.65,0.78,0.56,0.77
90,0.6,0.54,0.65,0.78,0.57,0.77
91,0.6,0.53,0.66,0.8,0.57,0.79
92,0.6,0.54,0.65,0.78,0.57,0.77
93,0.6,0.54,0.65,0.78,0.57,0.77
94,0.6,0.54,0.66,0.78,0.58,0.77
95,0.6,0.54,0.65,0.8,0.57,0.79
96,0.6,0.54,0.66,0.8,0.57,0.79
97,0.6,0.54,0.65,0.8,0.56,0.79
98,0.6,0.54,0.65,0.8,0.57,0.79
99,0.6,0.54,0.65,0.78,0.57,0.77
