epoch,train_loss,test_loss,train_accuracy,test_accuracy,train_f1,test_f1
0,0.69,0.69,0.51,0.53,0.52,0.69
1,0.69,0.69,0.5,0.53,0.49,0.69
2,0.69,0.69,0.5,0.53,0.45,0.69
3,0.69,0.69,0.51,0.53,0.42,0.68
4,0.69,0.69,0.51,0.5,0.43,0.63
5,0.69,0.69,0.5,0.55,0.43,0.69
6,0.69,0.69,0.51,0.53,0.44,0.65
7,0.69,0.69,0.5,0.55,0.44,0.68
8,0.69,0.69,0.51,0.53,0.46,0.67
9,0.69,0.69,0.52,0.53,0.48,0.67
10,0.69,0.69,0.51,0.55,0.48,0.69
11,0.69,0.69,0.52,0.53,0.49,0.65
12,0.69,0.69,0.52,0.53,0.48,0.65
13,0.68,0.69,0.53,0.57,0.49,0.7
14,0.68,0.69,0.53,0.55,0.51,0.68
15,0.68,0.69,0.54,0.55,0.52,0.69
16,0.68,0.69,0.55,0.55,0.54,0.68
17,0.68,0.69,0.55,0.53,0.54,0.67
18,0.67,0.68,0.56,0.55,0.55,0.68
19,0.67,0.68,0.58,0.57,0.54,0.7
20,0.67,0.67,0.58,0.6,0.57,0.71
21,0.66,0.67,0.59,0.62,0.55,0.73
22,0.66,0.66,0.59,0.68,0.55,0.75
23,0.66,0.66,0.6,0.68,0.57,0.75
24,0.65,0.65,0.6,0.7,0.57,0.77
25,0.65,0.65,0.6,0.68,0.57,0.75
26,0.65,0.65,0.61,0.72,0.58,0.78
27,0.65,0.64,0.61,0.72,0.57,0.78
28,0.65,0.64,0.61,0.72,0.58,0.78
29,0.64,0.63,0.62,0.72,0.58,0.78
30,0.64,0.63,0.62,0.72,0.58,0.78
31,0.64,0.63,0.62,0.72,0.59,0.78
32,0.64,0.63,0.62,0.72,0.59,0.78
33,0.64,0.63,0.62,0.72,0.59,0.78
34,0.64,0.63,0.62,0.72,0.6,0.78
35,0.63,0.62,0.63,0.7,0.6,0.77
36,0.63,0.62,0.62,0.72,0.59,0.78
37,0.63,0.62,0.63,0.72,0.6,0.78
38,0.63,0.62,0.63,0.72,0.6,0.78
39,0.63,0.62,0.63,0.7,0.61,0.77
40,0.63,0.62,0.63,0.7,0.61,0.77
41,0.63,0.61,0.63,0.7,0.61,0.77
42,0.63,0.61,0.63,0.7,0.6,0.77
43,0.62,0.61,0.64,0.7,0.61,0.77
44,0.62,0.61,0.63,0.7,0.61,0.77
45,0.62,0.61,0.64,0.7,0.62,0.77
46,0.62,0.6,0.64,0.7,0.62,0.77
47,0.62,0.61,0.65,0.7,0.62,0.77
48,0.62,0.6,0.64,0.7,0.62,0.77
49,0.61,0.6,0.65,0.72,0.63,0.78
50,0.62,0.6,0.64,0.7,0.62,0.77
51,0.61,0.6,0.64,0.7,0.62,0.77
52,0.61,0.6,0.65,0.7,0.63,0.77
53,0.61,0.59,0.65,0.72,0.63,0.78
54,0.61,0.59,0.66,0.72,0.64,0.78
55,0.61,0.59,0.66,0.72,0.64,0.78
56,0.61,0.59,0.65,0.7,0.64,0.77
57,0.61,0.58,0.65,0.7,0.64,0.77
58,0.61,0.58,0.65,0.72,0.64,0.79
59,0.61,0.58,0.66,0.7,0.65,0.77
60,0.61,0.58,0.66,0.72,0.65,0.78
61,0.6,0.58,0.66,0.72,0.64,0.78
62,0.6,0.57,0.66,0.75,0.65,0.81
63,0.61,0.58,0.65,0.72,0.64,0.79
64,0.6,0.57,0.66,0.75,0.64,0.81
65,0.6,0.58,0.66,0.72,0.64,0.79
66,0.6,0.57,0.66,0.72,0.64,0.79
67,0.6,0.57,0.66,0.72,0.64,0.79
68,0.6,0.57,0.66,0.72,0.65,0.79
69,0.6,0.57,0.66,0.72,0.65,0.79
70,0.6,0.57,0.67,0.72,0.65,0.79
71,0.6,0.57,0.67,0.72,0.65,0.79
72,0.6,0.56,0.66,0.72,0.64,0.79
73,0.6,0.56,0.67,0.72,0.65,0.79
74,0.6,0.56,0.67,0.72,0.65,0.79
75,0.6,0.56,0.67,0.7,0.65,0.78
76,0.59,0.56,0.67,0.72,0.66,0.79
77,0.59,0.56,0.67,0.72,0.65,0.79
78,0.59,0.56,0.67,0.7,0.65,0.78
79,0.59,0.56,0.67,0.7,0.65,0.78
80,0.6,0.56,0.66,0.7,0.65,0.78
81,0.59,0.55,0.67,0.7,0.66,0.78
82,0.59,0.56,0.67,0.7,0.66,0.78
83,0.59,0.55,0.67,0.7,0.66,0.78
84,0.59,0.55,0.67,0.7,0.66,0.78
85,0.59,0.55,0.67,0.7,0.66,0.78
86,0.59,0.55,0.67,0.7,0.65,0.78
87,0.59,0.55,0.68,0.7,0.66,0.78
88,0.59,0.55,0.68,0.7,0.66,0.78
89,0.59,0.55,0.67,0.7,0.66,0.78
90,0.58,0.55,0.68,0.7,0.66,0.78
91,0.59,0.55,0.67,0.7,0.66,0.78
92,0.58,0.55,0.68,0.7,0.66,0.78
93,0.58,0.54,0.68,0.7,0.66,0.78
94,0.58,0.55,0.68,0.7,0.66,0.78
95,0.58,0.55,0.68,0.7,0.66,0.78
96,0.58,0.54,0.68,0.7,0.66,0.78
97,0.58,0.54,0.68,0.7,0.66,0.78
98,0.58,0.54,0.68,0.7,0.66,0.78
99,0.58,0.53,0.68,0.7,0.66,0.78
