epoch,train_loss,test_loss,train_accuracy,test_accuracy,train_f1,test_f1
0,0.69,0.69,0.5,0.47,0.36,0.0
1,0.69,0.69,0.51,0.47,0.24,0.0
2,0.69,0.69,0.51,0.47,0.2,0.0
3,0.69,0.69,0.51,0.5,0.33,0.57
4,0.69,0.69,0.52,0.5,0.4,0.57
5,0.69,0.69,0.52,0.53,0.48,0.65
6,0.69,0.69,0.53,0.5,0.46,0.58
7,0.69,0.69,0.53,0.57,0.48,0.68
8,0.69,0.69,0.53,0.53,0.48,0.65
9,0.68,0.69,0.54,0.55,0.51,0.67
10,0.68,0.69,0.55,0.55,0.52,0.69
11,0.68,0.69,0.56,0.55,0.54,0.68
12,0.67,0.68,0.57,0.57,0.54,0.7
13,0.67,0.68,0.58,0.57,0.55,0.7
14,0.66,0.67,0.59,0.57,0.56,0.71
15,0.66,0.67,0.6,0.57,0.57,0.71
16,0.65,0.66,0.61,0.57,0.57,0.71
17,0.65,0.65,0.61,0.55,0.58,0.69
18,0.64,0.64,0.62,0.55,0.57,0.69
19,0.64,0.63,0.62,0.55,0.57,0.69
20,0.64,0.62,0.63,0.57,0.57,0.7
21,0.63,0.62,0.63,0.57,0.59,0.7
22,0.63,0.61,0.63,0.57,0.57,0.7
23,0.63,0.61,0.63,0.65,0.57,0.74
24,0.63,0.6,0.64,0.62,0.56,0.73
25,0.63,0.6,0.63,0.65,0.57,0.74
26,0.62,0.59,0.64,0.68,0.58,0.75
27,0.62,0.59,0.64,0.7,0.58,0.77
28,0.62,0.58,0.64,0.7,0.57,0.77
29,0.62,0.58,0.64,0.7,0.57,0.77
30,0.62,0.58,0.65,0.7,0.57,0.77
31,0.62,0.57,0.65,0.7,0.57,0.77
32,0.62,0.57,0.64,0.75,0.57,0.8
33,0.62,0.57,0.64,0.75,0.57,0.8
34,0.62,0.57,0.65,0.75,0.57,0.8
35,0.62,0.56,0.65,0.75,0.57,0.8
36,0.62,0.56,0.65,0.75,0.56,0.8
37,0.62,0.56,0.65,0.8,0.57,0.83
38,0.61,0.56,0.65,0.8,0.56,0.83
39,0.62,0.56,0.65,0.8,0.56,0.83
40,0.61,0.56,0.65,0.8,0.56,0.83
41,0.61,0.55,0.65,0.8,0.58,0.83
42,0.61,0.55,0.65,0.78,0.56,0.81
43,0.61,0.55,0.65,0.78,0.56,0.81
44,0.61,0.55,0.65,0.75,0.56,0.78
45,0.61,0.55,0.65,0.75,0.56,0.78
46,0.61,0.55,0.65,0.75,0.56,0.78
47,0.61,0.55,0.65,0.75,0.56,0.78
48,0.61,0.55,0.65,0.75,0.55,0.78
49,0.61,0.54,0.65,0.75,0.56,0.77
50,0.61,0.54,0.66,0.7,0.56,0.73
51,0.61,0.54,0.65,0.75,0.56,0.76
52,0.61,0.54,0.65,0.72,0.56,0.74
53,0.61,0.54,0.65,0.75,0.56,0.76
54,0.61,0.54,0.65,0.72,0.56,0.74
55,0.61,0.54,0.66,0.72,0.57,0.74
56,0.61,0.54,0.65,0.75,0.56,0.77
57,0.61,0.54,0.65,0.72,0.56,0.74
58,0.61,0.54,0.65,0.72,0.56,0.74
59,0.61,0.54,0.65,0.72,0.56,0.74
60,0.61,0.54,0.65,0.72,0.55,0.74
61,0.61,0.54,0.65,0.72,0.55,0.74
62,0.61,0.53,0.65,0.72,0.55,0.73
63,0.6,0.54,0.65,0.72,0.55,0.74
64,0.61,0.54,0.65,0.7,0.56,0.71
65,0.61,0.53,0.65,0.75,0.55,0.76
66,0.61,0.53,0.65,0.72,0.56,0.73
67,0.6,0.54,0.65,0.7,0.55,0.71
68,0.61,0.54,0.65,0.72,0.56,0.73
69,0.61,0.54,0.65,0.7,0.55,0.71
70,0.61,0.53,0.65,0.75,0.55,0.76
71,0.6,0.54,0.65,0.7,0.55,0.71
72,0.6,0.54,0.65,0.75,0.55,0.76
73,0.6,0.54,0.65,0.7,0.55,0.71
74,0.6,0.54,0.65,0.7,0.56,0.71
75,0.6,0.54,0.66,0.68,0.55,0.68
76,0.61,0.54,0.65,0.72,0.55,0.73
77,0.6,0.54,0.66,0.7,0.56,0.71
78,0.6,0.54,0.65,0.68,0.55,0.68
79,0.6,0.54,0.66,0.75,0.55,0.74
80,0.6,0.54,0.65,0.7,0.55,0.7
81,0.6,0.54,0.65,0.7,0.55,0.7
82,0.6,0.54,0.66,0.7,0.55,0.7
83,0.6,0.54,0.65,0.68,0.56,0.68
84,0.6,0.53,0.65,0.72,0.55,0.72
85,0.6,0.54,0.66,0.68,0.56,0.68
86,0.6,0.54,0.66,0.7,0.56,0.71
87,0.6,0.53,0.66,0.72,0.56,0.72
88,0.6,0.54,0.66,0.7,0.55,0.7
89,0.6,0.53,0.66,0.72,0.55,0.72
90,0.6,0.54,0.66,0.72,0.55,0.72
91,0.61,0.54,0.65,0.72,0.54,0.72
92,0.6,0.54,0.65,0.72,0.54,0.72
93,0.6,0.54,0.66,0.72,0.56,0.72
94,0.6,0.54,0.65,0.68,0.56,0.68
95,0.6,0.53,0.65,0.72,0.55,0.72
96,0.6,0.54,0.66,0.7,0.55,0.7
97,0.6,0.54,0.66,0.72,0.56,0.72
98,0.6,0.53,0.66,0.72,0.56,0.72
99,0.6,0.53,0.65,0.72,0.55,0.72
