epoch,train_loss,test_loss,train_accuracy,test_accuracy,train_f1,test_f1
0,0.69,0.69,0.5,0.47,0.21,0.0
1,0.69,0.69,0.51,0.47,0.31,0.0
2,0.69,0.69,0.51,0.47,0.27,0.0
3,0.69,0.69,0.51,0.47,0.17,0.0
4,0.69,0.69,0.51,0.47,0.21,0.0
5,0.69,0.69,0.5,0.35,0.27,0.13
6,0.69,0.69,0.51,0.57,0.32,0.69
7,0.69,0.69,0.51,0.53,0.46,0.69
8,0.69,0.69,0.51,0.53,0.51,0.69
9,0.69,0.69,0.52,0.53,0.54,0.69
10,0.68,0.69,0.53,0.53,0.54,0.69
11,0.68,0.69,0.54,0.53,0.57,0.69
12,0.68,0.69,0.54,0.53,0.57,0.69
13,0.67,0.69,0.56,0.53,0.58,0.69
14,0.67,0.69,0.56,0.55,0.58,0.7
15,0.67,0.69,0.57,0.55,0.59,0.7
16,0.66,0.69,0.58,0.55,0.59,0.7
17,0.66,0.68,0.59,0.55,0.59,0.7
18,0.66,0.68,0.59,0.55,0.58,0.7
19,0.65,0.67,0.6,0.55,0.6,0.7
20,0.65,0.67,0.6,0.55,0.58,0.7
21,0.65,0.66,0.6,0.55,0.57,0.7
22,0.64,0.65,0.61,0.55,0.58,0.7
23,0.64,0.65,0.61,0.55,0.58,0.7
24,0.64,0.65,0.62,0.55,0.58,0.7
25,0.64,0.64,0.62,0.55,0.58,0.7
26,0.64,0.63,0.62,0.55,0.57,0.7
27,0.63,0.63,0.62,0.53,0.56,0.68
28,0.63,0.62,0.63,0.53,0.57,0.68
29,0.63,0.62,0.63,0.55,0.57,0.69
30,0.63,0.62,0.62,0.55,0.56,0.69
31,0.63,0.61,0.62,0.57,0.56,0.7
32,0.63,0.61,0.63,0.6,0.57,0.71
33,0.63,0.61,0.63,0.57,0.57,0.7
34,0.63,0.6,0.63,0.62,0.57,0.73
35,0.63,0.6,0.64,0.6,0.56,0.7
36,0.62,0.59,0.64,0.62,0.57,0.72
37,0.62,0.59,0.64,0.62,0.57,0.73
38,0.62,0.58,0.64,0.62,0.58,0.73
39,0.62,0.58,0.64,0.65,0.57,0.74
40,0.62,0.58,0.64,0.68,0.57,0.75
41,0.62,0.57,0.64,0.68,0.57,0.75
42,0.62,0.57,0.64,0.72,0.56,0.78
43,0.62,0.57,0.65,0.7,0.57,0.76
44,0.62,0.57,0.64,0.75,0.56,0.79
45,0.62,0.56,0.64,0.78,0.57,0.81
46,0.61,0.56,0.65,0.8,0.57,0.83
47,0.61,0.56,0.65,0.8,0.56,0.83
48,0.61,0.55,0.65,0.8,0.57,0.83
49,0.62,0.55,0.64,0.8,0.55,0.83
50,0.61,0.55,0.65,0.8,0.57,0.83
51,0.62,0.55,0.65,0.8,0.56,0.83
52,0.61,0.55,0.65,0.8,0.56,0.83
53,0.61,0.55,0.65,0.72,0.55,0.74
54,0.61,0.55,0.65,0.72,0.55,0.73
55,0.61,0.55,0.65,0.8,0.56,0.83
56,0.61,0.55,0.65,0.8,0.57,0.83
57,0.61,0.55,0.65,0.72,0.56,0.73
58,0.61,0.54,0.65,0.72,0.56,0.73
59,0.61,0.55,0.65,0.72,0.56,0.73
60,0.61,0.55,0.65,0.72,0.56,0.73
61,0.61,0.55,0.65,0.7,0.56,0.71
62,0.61,0.55,0.65,0.7,0.55,0.7
63,0.61,0.55,0.65,0.7,0.55,0.7
64,0.61,0.55,0.65,0.7,0.55,0.7
65,0.61,0.55,0.65,0.7,0.55,0.7
66,0.61,0.55,0.65,0.72,0.55,0.72
67,0.61,0.55,0.65,0.7,0.55,0.7
68,0.61,0.55,0.65,0.7,0.55,0.7
69,0.61,0.55,0.65,0.7,0.55,0.7
70,0.6,0.55,0.66,0.7,0.56,0.7
71,0.6,0.55,0.65,0.7,0.56,0.7
72,0.6,0.55,0.65,0.72,0.56,0.72
73,0.61,0.55,0.65,0.72,0.55,0.72
74,0.61,0.55,0.65,0.72,0.55,0.72
75,0.61,0.55,0.65,0.72,0.55,0.72
76,0.6,0.55,0.65,0.72,0.56,0.72
77,0.6,0.56,0.66,0.72,0.57,0.72
78,0.61,0.56,0.65,0.72,0.54,0.72
79,0.61,0.56,0.65,0.72,0.55,0.72
80,0.6,0.56,0.65,0.72,0.56,0.72
81,0.6,0.56,0.65,0.72,0.55,0.72
82,0.6,0.56,0.66,0.72,0.56,0.72
83,0.6,0.56,0.66,0.75,0.55,0.74
84,0.6,0.56,0.66,0.72,0.55,0.72
85,0.6,0.56,0.66,0.72,0.55,0.72
86,0.61,0.56,0.65,0.72,0.54,0.72
87,0.6,0.56,0.65,0.72,0.54,0.72
88,0.6,0.56,0.66,0.75,0.55,0.74
89,0.6,0.57,0.65,0.75,0.54,0.74
90,0.6,0.56,0.66,0.72,0.55,0.72
91,0.6,0.56,0.65,0.75,0.54,0.74
92,0.6,0.56,0.65,0.72,0.55,0.7
93,0.6,0.57,0.66,0.75,0.55,0.74
94,0.61,0.57,0.65,0.7,0.54,0.67
95,0.6,0.57,0.65,0.7,0.55,0.67
96,0.6,0.56,0.66,0.7,0.55,0.67
97,0.6,0.56,0.66,0.75,0.54,0.74
98,0.6,0.57,0.65,0.72,0.55,0.7
99,0.6,0.57,0.65,0.75,0.55,0.74
