epoch,train_loss,test_loss,train_accuracy,test_accuracy,train_f1,test_f1
0,0.7,0.69,0.5,0.53,0.37,0.69
1,0.7,0.69,0.5,0.53,0.42,0.69
2,0.69,0.69,0.51,0.53,0.43,0.69
3,0.69,0.69,0.51,0.55,0.43,0.69
4,0.69,0.69,0.51,0.53,0.41,0.64
5,0.69,0.69,0.51,0.5,0.41,0.6
6,0.69,0.69,0.51,0.5,0.41,0.6
7,0.69,0.69,0.52,0.53,0.42,0.63
8,0.69,0.69,0.52,0.5,0.44,0.6
9,0.69,0.69,0.52,0.5,0.42,0.6
10,0.69,0.69,0.53,0.55,0.47,0.65
11,0.68,0.69,0.53,0.53,0.48,0.63
12,0.68,0.69,0.54,0.53,0.51,0.64
13,0.68,0.68,0.55,0.5,0.52,0.62
14,0.68,0.68,0.56,0.55,0.53,0.67
15,0.67,0.68,0.57,0.55,0.54,0.67
16,0.67,0.67,0.58,0.6,0.54,0.7
17,0.66,0.66,0.58,0.6,0.56,0.7
18,0.66,0.66,0.59,0.68,0.56,0.75
19,0.66,0.65,0.6,0.72,0.56,0.78
20,0.65,0.65,0.6,0.7,0.56,0.76
21,0.65,0.64,0.61,0.75,0.57,0.79
22,0.65,0.64,0.61,0.75,0.56,0.79
23,0.65,0.64,0.61,0.72,0.57,0.78
24,0.65,0.63,0.62,0.75,0.58,0.79
25,0.64,0.63,0.62,0.75,0.57,0.79
26,0.64,0.63,0.62,0.7,0.58,0.76
27,0.64,0.62,0.62,0.75,0.58,0.79
28,0.64,0.62,0.62,0.72,0.58,0.78
29,0.64,0.62,0.62,0.75,0.58,0.79
30,0.64,0.62,0.63,0.75,0.58,0.79
31,0.64,0.61,0.63,0.78,0.57,0.81
32,0.64,0.61,0.63,0.75,0.58,0.8
33,0.63,0.61,0.62,0.75,0.58,0.8
34,0.63,0.61,0.63,0.78,0.58,0.81
35,0.63,0.61,0.63,0.78,0.57,0.81
36,0.63,0.61,0.63,0.78,0.58,0.81
37,0.63,0.6,0.63,0.78,0.57,0.81
38,0.63,0.6,0.63,0.78,0.57,0.81
39,0.63,0.6,0.64,0.78,0.58,0.81
40,0.63,0.6,0.63,0.78,0.57,0.81
41,0.63,0.6,0.64,0.78,0.58,0.81
42,0.63,0.6,0.63,0.78,0.57,0.81
43,0.63,0.6,0.63,0.78,0.57,0.81
44,0.63,0.59,0.63,0.78,0.56,0.81
45,0.63,0.59,0.63,0.78,0.57,0.81
46,0.63,0.59,0.64,0.78,0.57,0.81
47,0.63,0.59,0.64,0.78,0.57,0.81
48,0.63,0.59,0.64,0.78,0.57,0.81
49,0.62,0.59,0.64,0.78,0.57,0.81
50,0.62,0.59,0.64,0.78,0.58,0.81
51,0.62,0.59,0.64,0.78,0.57,0.81
52,0.62,0.59,0.64,0.78,0.57,0.81
53,0.62,0.59,0.64,0.78,0.57,0.81
54,0.62,0.58,0.63,0.78,0.57,0.81
55,0.62,0.58,0.64,0.75,0.57,0.78
56,0.62,0.58,0.64,0.75,0.57,0.79
57,0.62,0.58,0.64,0.78,0.57,0.81
58,0.62,0.58,0.64,0.78,0.57,0.81
59,0.62,0.58,0.64,0.75,0.56,0.79
60,0.62,0.58,0.64,0.78,0.57,0.81
61,0.62,0.58,0.65,0.75,0.57,0.78
62,0.62,0.58,0.65,0.78,0.57,0.81
63,0.62,0.57,0.64,0.75,0.57,0.79
64,0.62,0.57,0.64,0.78,0.57,0.81
65,0.62,0.57,0.64,0.78,0.57,0.81
66,0.62,0.57,0.65,0.75,0.57,0.78
67,0.62,0.57,0.65,0.75,0.58,0.78
68,0.62,0.57,0.64,0.75,0.58,0.78
69,0.62,0.57,0.65,0.75,0.57,0.79
70,0.62,0.57,0.64,0.75,0.57,0.79
71,0.62,0.57,0.65,0.75,0.57,0.79
72,0.62,0.57,0.65,0.75,0.57,0.79
73,0.62,0.57,0.64,0.75,0.56,0.79
74,0.62,0.57,0.65,0.72,0.57,0.77
75,0.61,0.57,0.65,0.72,0.58,0.78
76,0.62,0.57,0.64,0.72,0.57,0.78
77,0.62,0.57,0.65,0.7,0.57,0.75
78,0.62,0.57,0.64,0.7,0.56,0.75
79,0.61,0.56,0.65,0.72,0.58,0.78
80,0.62,0.57,0.64,0.7,0.57,0.76
81,0.61,0.57,0.64,0.7,0.58,0.76
82,0.62,0.57,0.64,0.68,0.57,0.72
83,0.61,0.57,0.64,0.68,0.57,0.72
84,0.61,0.57,0.65,0.7,0.57,0.75
85,0.61,0.57,0.64,0.7,0.57,0.75
86,0.61,0.57,0.65,0.7,0.57,0.75
87,0.62,0.57,0.64,0.72,0.56,0.78
88,0.61,0.56,0.65,0.72,0.57,0.78
89,0.62,0.56,0.64,0.72,0.57,0.78
90,0.61,0.57,0.65,0.7,0.57,0.75
91,0.61,0.56,0.64,0.7,0.57,0.75
92,0.61,0.56,0.65,0.68,0.57,0.72
93,0.61,0.57,0.65,0.68,0.58,0.72
94,0.61,0.57,0.65,0.68,0.57,0.72
95,0.61,0.56,0.64,0.68,0.57,0.72
96,0.61,0.56,0.64,0.7,0.57,0.75
97,0.61,0.56,0.65,0.7,0.57,0.75
98,0.61,0.56,0.64,0.7,0.56,0.75
99,0.61,0.56,0.64,0.7,0.56,0.75
